"DateTime","Additions","Deletions"
"2019-08-18",612,-467
"2019-08-25",244,-201
"2019-09-01",525,-783
"2019-09-08",608,-195
"2019-09-15",6605,-1555
"2019-09-22",603,-366
"2019-09-29",89254,-5056
"2019-10-06",22549,-2844
"2019-10-13",40861,-26112
"2019-10-20",941,-1350
"2019-10-27",393,-352
"2019-11-03",6785,-1212
"2019-11-10",85,-52
"2019-11-17",20,-23
"2019-11-24",0,0
"2019-12-01",11902,-2544
"2019-12-08",14,-14
"2019-12-15",19707,-5681
"2019-12-22",16,-15
"2019-12-29",134,-74
"2020-01-05",214,-157
"2020-01-12",15714,-5643
"2020-01-19",13099,-3492
"2020-01-26",86,-72
"2020-02-02",257,-17
"2020-02-09",7,-7
"2020-02-16",10594,-884
"2020-02-23",72124,-44731
"2020-03-01",1276,-255
"2020-03-08",875,-258
"2020-03-15",576,-203
"2020-03-22",18232,-18151
"2020-03-29",19117,-16438
"2020-04-05",60875,-37571
"2020-04-12",456,-525
"2020-04-19",2335,-835
"2020-04-26",293,-175
"2020-05-03",203,-154
"2020-05-10",51626,-23675
"2020-05-17",429,-277
"2020-05-24",75,-74
"2020-05-31",961,-850
"2020-06-07",12335,-4751
"2020-06-14",480,-219
"2020-06-21",992,-530
"2020-06-28",14731,-13316
"2020-07-05",1797,-107
"2020-07-12",313,-345
"2020-07-19",135,-97
"2020-07-26",469,-292
"2020-08-02",3151,-913
"2020-08-09",36,-15
"2020-08-16",31,-31
"2020-08-23",356,-184
"2020-08-30",45343,-22591
"2020-09-06",2145,-671
"2020-09-13",17827,-11384
"2020-09-20",274,-276
"2020-09-27",624,-614
"2020-10-04",128,-118
"2020-10-11",316,-141
"2020-10-18",4,-4
"2020-10-25",271,-243
"2020-11-01",0,0
"2020-11-08",339,-501
"2020-11-15",19195,-6387
"2020-11-22",32,-52
"2020-11-29",120,-48
"2020-12-06",0,0
"2020-12-13",83,-53
"2020-12-20",6,-6
"2020-12-27",76,0
"2021-01-03",44,-67
"2021-01-10",214,-170
"2021-01-17",0,0
"2021-01-24",23,-8
"2021-01-31",0,0
"2021-02-07",200,-480
"2021-02-14",1014,-812
"2021-02-21",0,0
"2021-02-28",0,0
"2021-03-07",498,-313
"2021-03-14",46432,-25547
"2021-03-21",2248,-384
"2021-03-28",124,-16
"2021-04-04",3,0
"2021-04-11",0,0
"2021-04-18",82,-8
"2021-04-25",414,-222
"2021-05-02",25390,-17424
"2021-05-09",107,-62
"2021-05-16",501,-204
"2021-05-23",5,-1
"2021-05-30",9,-93
"2021-06-06",2513,-1285
"2021-06-13",7236,-6679
"2021-06-20",1333,-45
"2021-06-27",209,-2
"2021-07-04",3,0
"2021-07-11",908,-432
"2021-07-18",218,-212
"2021-07-25",2730,-357
"2021-08-01",11598,-10640
"2021-08-08",4,0
"2021-08-15",0,0
"2021-08-22",3,-1
"2021-08-29",116,-92
"2021-09-05",372,-374
"2021-09-12",6073,-577
"2021-09-19",950,-1391
"2021-09-26",76,-51
"2021-10-03",420,-232
"2021-10-10",8487,-6758
"2021-10-17",16126,-13837
"2021-10-24",5005,-3844
"2021-10-31",112,-27
"2021-11-07",3017,-2444
"2021-11-14",4340,-4709
"2021-11-21",89,-75
"2021-11-28",372,-305
"2021-12-05",300,-321
"2021-12-12",809,-522
"2021-12-19",11,-2
"2021-12-26",0,0
"2022-01-02",314,-171
"2022-01-09",16892,-11128
"2022-01-16",18895,-17383
"2022-01-23",210,-292
"2022-01-30",529,-70
"2022-02-06",31425,-18252
"2022-02-13",1381,-1093
"2022-02-20",1538,-565
"2022-02-27",760,-234
"2022-03-06",30944,-17656
"2022-03-13",145,-135
"2022-03-20",282,-253
"2022-03-27",250,-267
"2022-04-03",22825,-8067
"2022-04-10",4902,-4577
"2022-04-17",2764,-164
"2022-04-24",539,-268
"2022-05-01",7021,-4384
"2022-05-08",6043,-464
"2022-05-15",15149,-7102
"2022-05-22",7696,-4878
"2022-05-29",13,-19
"2022-06-05",53777,-12729
"2022-06-12",3171,-429
"2022-06-19",46131,-21183
"2022-06-26",17766,-8758
"2022-07-03",1324,-989
"2022-07-10",130,-21
"2022-07-17",3534,-3208
"2022-07-24",7223,-1247
"2022-07-31",13,-3
"2022-08-07",2826,-2672
"2022-08-14",232,-136
"2022-08-21",139261,-98334
"2022-08-28",947,-652
"2022-09-04",3615,-3608
"2022-09-11",5671,-466
"2022-09-18",828,-420
"2022-09-25",48672,-11919
"2022-10-02",13092,-12807
"2022-10-09",31970,-1139
"2022-10-16",3494,-1475
"2022-10-23",77987,-48908
"2022-10-30",3116,-14355
"2022-11-06",25524,-29726
"2022-11-13",10764,-7621
"2022-11-20",8470,-6775
"2022-11-27",302,-206
"2022-12-04",2825,-2713
"2022-12-11",1015,-891
"2022-12-18",9474,-1273
"2022-12-25",791,-3101
"2023-01-01",52124,-61554
"2023-01-08",9994,-13491
"2023-01-15",3980,-3554
"2023-01-22",43806,-34094
"2023-01-29",76,-48
"2023-02-05",8572,-210
"2023-02-12",4976,-4562
"2023-02-19",20806,-20452
"2023-02-26",10986,-10758
"2023-03-05",8162,-6199
"2023-03-12",20977,-13841
"2023-03-19",30603,-25410
"2023-03-26",7185,-9763
"2023-04-02",1560,-1193
"2023-04-09",1662,-397
"2023-04-16",87682,-58574
"2023-04-23",5421,-5375
"2023-04-30",17467,-26964
"2023-05-07",9017,-8684
"2023-05-14",1585,-640
"2023-05-21",11141,-13312
"2023-05-28",16116,-11122
"2023-06-04",59274,-45988
"2023-06-11",1544,-1923
"2023-06-18",20941,-9194
"2023-06-25",3910,-235
"2023-07-02",5161,-3964
"2023-07-09",3584,-3331
"2023-07-16",18294,-8093
"2023-07-23",2982,-1418
"2023-07-30",11766,-10563
"2023-08-06",22167,-14816
"2023-08-13",12062,-10904
"2023-08-20",1095,-628
"2023-08-27",7689,-6446
"2023-09-03",14113,-4790
"2023-09-10",4780,-4277
"2023-09-17",2325,-857
"2023-09-24",864,-580
"2023-10-01",1679,-1372
"2023-10-08",45289,-42408
"2023-10-15",453,-346
"2023-10-22",932,-830
"2023-10-29",802,-796
"2023-11-05",180,-210
"2023-11-12",3742,-3630
"2023-11-19",1645,-327
"2023-11-26",103,-258
"2023-12-03",4203,-3999
"2023-12-10",586,-1024
"2023-12-17",825,-771
"2023-12-24",0,0
"2023-12-31",32547,-29715
"2024-01-07",25308,-29538
"2024-01-14",838,-442
"2024-01-21",708,-591
"2024-01-28",18452,-14355
"2024-02-04",3307,-1125
"2024-02-11",50035,-39639
"2024-02-18",3616,-1215
"2024-02-25",24157,-14223
"2024-03-03",9804,-6219
"2024-03-10",793,-491
"2024-03-17",7242,-6396
"2024-03-24",1172,-358
"2024-03-31",22834,-12372
"2024-04-07",486,-63
"2024-04-14",17187,-12404
"2024-04-21",424,-221
"2024-04-28",13,-198
"2024-05-05",5458,-6734
"2024-05-12",322,-186
"2024-05-19",0,0
"2024-05-26",349,-68
"2024-06-02",1833,-1075
"2024-06-09",3270,-2448
"2024-06-16",15836,-11512
"2024-06-23",702,-541
"2024-06-30",10748,-6961
"2024-07-07",16090,-12844
"2024-07-14",2590,-500
"2024-07-21",555,-546
"2024-07-28",886,-928
"2024-08-04",40490,-34244
"2024-08-11",3364,-1457
"2024-08-18",23418,-21527
"2024-08-25",1828,-1196
"2024-09-01",42740,-32300
"2024-09-08",2369,-958
"2024-09-15",10033,-5495
"2024-09-22",643,-758
"2024-09-29",1088,-825
"2024-10-06",1117,-1001
"2024-10-13",863,-917
"2024-10-20",1118,-777
"2024-10-27",662,-722
"2024-11-03",33335,-18488
"2024-11-10",14081,-10415
"2024-11-17",2991,-2030
"2024-11-24",2300,-7539
"2024-12-01",8993,-6461
"2024-12-08",448,-161
"2024-12-15",772,-794
"2024-12-22",202,-200
"2024-12-29",9365,-10183
"2025-01-05",909,-523
"2025-01-12",21621,-12889
"2025-01-19",14251,-9627
"2025-01-26",421,-102
"2025-02-02",14546,-11637
"2025-02-09",2616,-1831
"2025-02-16",548,-509
"2025-02-23",49852,-36224
